spmsg01

; Bulgarian spotter for iRacing
; Tony Stefanov 12/03/26
; v0.9

; msgId,                WAVE FILE NAME,         "text string"

SPCC_CANTCLR,           CANTCLR.WAV,            "You can't clear a black flag on a restart."
SPCC_CLRYELLO,          CLRYELLO.WAV,           "You can still clear the black flag. You were on pit road when the yellow came out."
SPCC_PITCLOSE,          PITCLOSE.WAV,           "Pit road is closed."
SPCC_PITCLOSE,          PITCLOSE2.WAV,          "Pit road is closed."
SPCC_PITCLOSE,          PITCLOSE3.WAV,          "Pit road is closed."
SPCC_PITOPEN,           PITOPEN.WAV,            "Pit road is open."
SPCC_PITOPEN,           PITOPEN2.WAV,           "Pit road is open."
SPCC_GILLIGAN2,         NULL,                   NULL
SPCC_ENDLONG,           ENDLONG.WAV,            "Ok, you've got to go to the end of the longest line."
SPCC_ENDLONG,           ENDLONG_2.WAV,          "Go back to the tail of the longest line, fall back."
SPCC_ENDLONG,           ENDLONG_3.WAV,          "Line up at the tail end of the field."
SPCC_BLEWSTOP,          BLEWSTOP.WAV,           "You exited the closed pits!"
SPCC_1TOGREEN,          1TOGREEN.WAV,           "One to go."
SPCC_1TOGREEN,          1TOGREEN2.WAV,          "One to go."
SPCC_1TOGREEN_RESTART,  NULL,                   NULL
SPCC_GOGREEN,           GOGREEN.WAV,            "Get ready."
SPCC_GOGREEN,           GOGREEN2.WAV,           "Get ready."
SPCC_GOGREEN_RESTART,   NULL,                   NULL
SPCC_BLACKFLG,          BLACKFLG.WAV,           "Black flag."
SPCC_BLACKFLG,          BLACKFLG_2.WAV,         "Black flag."
SPCC_REMINDBF,          REMINDBF.WAV,           "You need to serve that black flag."
SPCC_CUTCRS,            CUTCRS.WAV,             "They say you cut that cornet."
SPCC_CUTCRS,            CUTCRS2.WAV,           "You cut that corner."
SPCC_WRONGWAY,          WRONGWAY.WAV,           "Wrong way!"
SPCC_JUMPEDSTART,       JUMP.WAV,               "You jumped the start."
SPCC_PACESPEED,         PACESPEED.WAV,          "You didn't hold pace speed after the safety car pulled in."
SPCC_PACESPEEDSTARTER,  PACESPEEDSTARTER.WAV,   "The starter has control. Maintain the pace speed until the green flag, then go."
SPCC_PACESPEEDYOU,      PACESPEEDYOU.WAV,       "You have control. Maintain the pace speed until the restart zone, then go."
SPCC_PACESPEEDLEADER,   PACESPEEDLEADER.WAV,    "The leader has control. Maintain the pace speed until the start zone, then go when the leader goes."
SPCC_INNERLOOP,         NULL,                    NULL
SPCC_DQ,                DQ.WAV,                 "You've been disqualified."
SPCC_DQADMIN,           NULL,                    NULL
SPCC_DQIGNBLK,          DQIGNBLK.WAV,           "You've been disqualified for ignoring the black flag."
SPCC_DQRECKDR,          DQRECKDR.WAV,           "You've been disqualified for reckless driving."
SPCC_DQREPAIR,          DQREPAIR.WAV,           "You've been disqualified for having too much damage."
SPCC_DQCUTCOURSE,       DQCUTCOURSE.WAV,        "You've been disqualified for cutting the course."
SPCC_DQPITSPEED,        DQPITSPEED.WAV,         "You've been disqualified for speeding on pit road."
SPCC_DQINCLIMIT,        DQINCLIMIT.WAV,         "You've been disqualified for too many incident points."
SPCC_ENTERPIT,          ENTERPIT.WAV,           "You didn't enter the pits safely."
